country,year,production,lag1,lag2,lag3,rolling_3,country_code
AGO,1974,8720.314,8325.19,7205.159,5841.11,7123.819666666666,0
AGO,1975,7954.569,8720.314,8325.19,7205.159,8083.5543333333335,0
AGO,1976,7722.803,7954.569,8720.314,8325.19,8333.357666666667,0
AGO,1977,7210.264,7722.803,7954.569,8720.314,8132.562000000001,0
AGO,1978,6604.814,7210.264,7722.803,7954.569,7629.2119999999995,0
AGO,1979,7351.161,6604.814,7210.264,7722.803,7179.293666666667,0
AGO,1980,7583.948,7351.161,6604.814,7210.264,7055.4130000000005,0
AGO,1981,6515.987,7583.948,7351.161,6604.814,7179.9743333333345,0
AGO,1982,6546.617,6515.987,7583.948,7351.161,7150.365333333334,0
AGO,1983,8984.752,6546.617,6515.987,7583.948,6882.184,0
AGO,1984,10289.583,8984.752,6546.617,6515.987,7349.118666666666,0
AGO,1985,11669.968,10289.583,8984.752,6546.617,8606.983999999999,0
AGO,1986,14185.698,11669.968,10289.583,8984.752,10314.767666666667,0
AGO,1987,18076.709,14185.698,11669.968,10289.583,12048.416333333334,0
AGO,1988,22737.549,18076.709,14185.698,11669.968,14644.125,0
AGO,1989,22765.116,22737.549,18076.709,14185.698,18333.318666666666,0
AGO,1990,23826.95,22765.116,22737.549,18076.709,21193.124666666667,0
AGO,1991,24992.926,23826.95,22765.116,22737.549,23109.87166666667,0
AGO,1992,27691.414,24992.926,23826.95,22765.116,23861.664,0
AGO,1993,25370.694,27691.414,24992.926,23826.95,25503.763333333336,0
AGO,1994,27685.288,25370.694,27691.414,24992.926,26018.344666666668,0
AGO,1995,31008.626,27685.288,25370.694,27691.414,26915.798666666666,0
AGO,1996,34252.325,31008.626,27685.288,25370.694,28021.536000000004,0
AGO,1997,35886.938,34252.325,31008.626,27685.288,30982.07966666667,0
AGO,1998,37145.824,35886.938,34252.325,31008.626,33715.962999999996,0
AGO,1999,37626.712,37145.824,35886.938,34252.325,35761.69566666667,0
AGO,2000,37598.124,37626.712,37145.824,35886.938,36886.49133333333,0
AGO,2001,37234.65,37598.124,37626.712,37145.824,37456.886666666665,0
AGO,2002,44969.705,37234.65,37598.124,37626.712,37486.49533333333,0
